Product Name,Stars,Price
"Cat Claw Design Thumb Grip Caps, Joystick Cap for Nintendo Switch & Lite, Soft Silicone Cover for Joy-Con Controller （Blue & Green)",4.9,9.99
BioShock: The Collection,4.0,49.94
Luigi's Mansion 3 - Nintendo Switch,4.8,59.95
"Super Monkey Ball Banana Blitz HD ,Nintendo Switch",3.7,33.43
Nintendo Switch with Gray Joy‑Con - HAC-001(-01) + SanDisk 128GB MicroSDXC UHS-I Card,4.7,Unknown
"Wireless Pro Controller for Nintendo Switch Support Amiibo - OUBANG Switch Remote Gamepad with NFC and Awakening Function,Support Gyro Axis,Turbo and Dual Vibration",4.3,23.99
"LETTON Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games (L1)",4.7,29.99
Super Mario Odyssey (Nintendo Switch),4.8,58.79
Game Card Reader Compatible with Nintendo Switch,Unknown,Unknown
"Accessories kit for Nintendo Switch, VOKOO Steering Wheel, Charging Dock, Game Storage Case, Grips,Dockable Cover Case, Screen Protector, Carrying Case Compatible with Nintendo Switch, 10-in-1",4.1,35.99
HORI Nintendo Switch Split Pad Pro (Daemon X Machina Edition) Ergonomic Controller for Handheld Mode - Officially Licensed By Nintendo - Nintendo Switch,4.6,49.99
NBA 2K20   Nintendo Switch,4.7,19.99
Mario + Rabbids Kingdom Battle - Nintendo Switch Standard Edition,4.6,59.99
JEU Console Nintendo ARMS N.Switch,4.5,83.18
Minecraft (Nintendo Switch),4.7,30.02
TechKen XB Pro Controller Compatible with Nintendo Switch and Nintendo Switch Lite,4.5,30.97
PowerA Everywhere Messenger Bag for Nintendo Switch,4.8,34.99
TechKen XB Pro Controller Compatible with Nintendo Switch and Nintendo Switch Lite,4.5,30.97
"USB Type C Cable, Syncwire [2 Pack, 6Ft] USB 3.0 Fast Charging & Sync Nylon Braided USB A to USB-C Charger Cord for Samsung Galaxy S10/S9/S8 Plus/Note 9/8, Nintendo Switch, LG V30, V20, G6, G5",4.6,13.99
"Nintendo Switch Lite, Gray - with SanDisk 128GB UHS-I microSDXC Memory Card for The Switch",3.9,Unknown
Nintendo Switch Lite - Gray with SanDisk 256GB MicroSDXC UHS-I Card for Nintendo Switch,4.8,Unknown
Nintendo Switch Lite Console - Turquoise - with SPSE 128GB Micro SD Card and Adapter,5.0,305.99
Super Smash Bros. for Nintendo 3DS Gameplay,5.0,Unknown
Celeste - Nintendo Switch [Digital Code],4.6,6.79
Ring Fit Adventure - Nintendo Switch,4.8,Unknown
Nintendo Switch Lite - Yellow,4.6,Unknown
Nintendo Switch Lite - Gray with SanDisk 64GB MicroSDXC UHS-I Card for Nintendo Switch,4.8,Unknown
Majoras Mask Link Amiibo - TLOZ Collection (Nintendo Switch/3DS/Wii U) Switch),4.8,34.99
The Outer Worlds - Switch [Digital Code],Unknown,59.99
Nintendo Switch Lite - Turquoise with SanDisk 128GB MicroSDXC UHS-I Card for Nintendo Switch,4.8,Unknown
"OMKUY Protective Cover Case Compatible with Nintendo Switch, Separable Cover for Switch Joy-Con Grip Cover Case (purple+green)",5.0,Unknown
